size,solved,cost,steps,time_s
l2_p2_c2_g2,True,144,7,
l3_p3_c3_g3,True,784,11,
l4_p4_c4_g4,True,518,15,
l5_p5_c5_g5,True,1502,19,
l6_p6_c6_g6,True,1750,23,
l7_p7_c7_g7,True,1580,27,
l8_p8_c8_g8,True,2906,31,
l9_p9_c9_g9,True,2162,35,
l10_p10_c10_g10,True,2468,39,
l11_p11_c11_g11,True,3390,43,
l12_p12_c12_g12,True,4256,47,
l13_p13_c13_g13,True,2052,51,
l14_p14_c14_g14,True,3272,55,
l15_p15_c15_g15,True,3812,59,
l16_p16_c16_g16,True,4570,63,
l17_p17_c17_g17,True,4738,67,
l18_p18_c18_g18,True,4888,71,
l19_p19_c19_g19,True,5026,75,
l20_p20_c20_g20,True,5624,79,
l25_p25_c25_g25,True,7876,99,
l30_p30_c30_g30,True,10302,119,
l40_p40_c40_g40,True,11860,159,
l50_p50_c50_g50,True,15090,199,
l55_p55_c55_g55,True,18648,219,
l60_p60_c60_g60,True,16906,239,
l65_p65_c65_g65,True,18354,259,
l67_p67_c67_g67,True,20950,267,
l68_p68_c68_g68,True,20992,271,
l69_p69_c69_g69,True,21104,275,34.52
l70_p70_c70_g70,True,20194,279,45.41
l75_p75_c75_g75,True,20434,299,58.37
l100_p100_c100_g100,False,,,70.03
