planner,size,solved,cost,steps,time_s
lama-first,l2_p2_c2_g2,True,274,6,0.36
seq-sat-fdss-2,l2_p2_c2_g2,True,274,6,0.39
seq-sat-fd-autotune-2,l2_p2_c2_g2,True,274,6,0.37
lama-first,l3_p3_c3_g3,True,438,10,0.32
seq-sat-fdss-2,l3_p3_c3_g3,True,438,10,0.18
seq-sat-fd-autotune-2,l3_p3_c3_g3,True,438,10,0.17
lama-first,l4_p4_c4_g4,True,288,14,0.16
seq-sat-fdss-2,l4_p4_c4_g4,True,334,14,0.15
seq-sat-fd-autotune-2,l4_p4_c4_g4,True,358,17,0.18
lama-first,l5_p5_c5_g5,True,1332,18,0.15
seq-sat-fdss-2,l5_p5_c5_g5,True,1409,19,0.21
seq-sat-fd-autotune-2,l5_p5_c5_g5,True,1333,19,0.53
lama-first,l6_p6_c6_g6,True,520,22,0.15
seq-sat-fdss-2,l6_p6_c6_g6,True,367,19,0.62
seq-sat-fd-autotune-2,l6_p6_c6_g6,True,716,26,2.17
lama-first,l7_p7_c7_g7,True,2322,26,0.15
seq-sat-fdss-2,l7_p7_c7_g7,True,2571,27,3.93
seq-sat-fd-autotune-2,l7_p7_c7_g7,True,2631,33,26.66
lama-first,l8_p8_c8_g8,True,1676,30,0.17
seq-sat-fdss-2,l8_p8_c8_g8,True,1959,31,29.36
seq-sat-fd-autotune-2,l8_p8_c8_g8,True,1402,30,59.19
lama-first,l9_p9_c9_g9,True,3148,34,0.17
seq-sat-fdss-2,l9_p9_c9_g9,True,2921,33,58.21
seq-sat-fd-autotune-2,l9_p9_c9_g9,True,2979,38,59.16
lama-first,l10_p10_c10_g10,True,2998,38,0.17
seq-sat-fdss-2,l10_p10_c10_g10,True,2200,34,58.2
seq-sat-fd-autotune-2,l10_p10_c10_g10,True,3095,47,59.2
lama-first,l11_p11_c11_g11,True,3436,42,0.42
seq-sat-fdss-2,l11_p11_c11_g11,True,3031,39,58.5
seq-sat-fd-autotune-2,l11_p11_c11_g11,True,3843,50,59.18
lama-first,l12_p12_c12_g12,True,4164,46,0.18
seq-sat-fdss-2,l12_p12_c12_g12,True,4325,47,58.25
seq-sat-fd-autotune-2,l12_p12_c12_g12,True,3751,50,59.21
lama-first,l13_p13_c13_g13,True,1980,48,0.2
seq-sat-fdss-2,l13_p13_c13_g13,True,1559,43,58.4
seq-sat-fd-autotune-2,l13_p13_c13_g13,True,1748,50,59.2
lama-first,l14_p14_c14_g14,True,3272,54,0.22
seq-sat-fdss-2,l14_p14_c14_g14,True,3510,54,58.3
seq-sat-fd-autotune-2,l14_p14_c14_g14,True,3726,64,59.21
lama-first,l15_p15_c15_g15,True,3812,58,0.23
seq-sat-fdss-2,l15_p15_c15_g15,True,4056,58,58.31
seq-sat-fd-autotune-2,l15_p15_c15_g15,True,4022,69,59.21
lama-first,l16_p16_c16_g16,True,4688,62,0.53
seq-sat-fdss-2,l16_p16_c16_g16,True,3903,57,58.73
seq-sat-fd-autotune-2,l16_p16_c16_g16,True,4957,73,59.26
lama-first,l17_p17_c17_g17,True,4920,68,0.25
seq-sat-fdss-2,l17_p17_c17_g17,True,4252,62,58.48
seq-sat-fd-autotune-2,l17_p17_c17_g17,True,4285,76,59.24
lama-first,l18_p18_c18_g18,True,4834,70,0.27
seq-sat-fdss-2,l18_p18_c18_g18,True,4592,68,58.6
seq-sat-fd-autotune-2,l18_p18_c18_g18,True,5357,83,59.22
lama-first,l19_p19_c19_g19,True,5282,74,0.27
seq-sat-fdss-2,l19_p19_c19_g19,True,4414,70,58.63
seq-sat-fd-autotune-2,l19_p19_c19_g19,True,5056,91,59.25
lama-first,l20_p20_c20_g20,True,5672,78,0.3
seq-sat-fdss-2,l20_p20_c20_g20,True,5236,74,58.9
seq-sat-fd-autotune-2,l20_p20_c20_g20,True,6361,95,59.27
lama-first,l25_p25_c25_g25,True,8318,100,0.37
seq-sat-fdss-2,l25_p25_c25_g25,True,6918,92,59.14
seq-sat-fd-autotune-2,l25_p25_c25_g25,True,7232,114,59.32
lama-first,l30_p30_c30_g30,True,10698,118,0.54
seq-sat-fdss-2,l30_p30_c30_g30,True,8558,109,59.27
seq-sat-fd-autotune-2,l30_p30_c30_g30,True,10702,142,59.39
lama-first,l40_p40_c40_g40,True,11896,158,1.08
seq-sat-fdss-2,l40_p40_c40_g40,True,11896,158,59.19
seq-sat-fd-autotune-2,l40_p40_c40_g40,True,13257,202,59.67
lama-first,l50_p50_c50_g50,True,15034,198,1.79
seq-sat-fdss-2,l50_p50_c50_g50,True,15034,198,58.67
seq-sat-fd-autotune-2,l50_p50_c50_g50,False,,,59.02
lama-first,l55_p55_c55_g55,True,18848,218,3.51
seq-sat-fdss-2,l55_p55_c55_g55,True,18848,218,59.04
lama-first,l60_p60_c60_g60,True,16840,238,4.2
seq-sat-fdss-2,l60_p60_c60_g60,True,16840,238,59.23
lama-first,l65_p65_c65_g65,True,18222,256,3.76
seq-sat-fdss-2,l65_p65_c65_g65,True,18258,258,59.85
lama-first,l70_p70_c70_g70,True,20194,278,4.1
seq-sat-fdss-2,l70_p70_c70_g70,True,20194,278,59.47
lama-first,l75_p75_c75_g75,True,20548,298,6.52
seq-sat-fdss-2,l75_p75_c75_g75,True,20548,298,58.33
lama-first,l100_p100_c100_g100,True,29860,396,17.0
seq-sat-fdss-2,l100_p100_c100_g100,False,,,58.44
lama-first,l110_p110_c110_g110,True,34042,438,21.95
lama-first,l120_p120_c120_g120,True,35490,478,24.0
lama-first,l125_p125_c125_g125,True,40129,497,37.0
lama-first,l130_p130_c130_g130,True,41030,518,36.14
lama-first,l140_p140_c140_g140,True,45186,556,54.68
lama-first,l142_p142_c142_g142,True,40262,566,45.39
lama-first,l144_p144_c144_g144,True,45390,572,54.3
lama-first,l146_p146_c146_g146,False,,,59.61
seq-opt-lmcut,l2_p2_c2_g2,True,144,6,0.17
seq-opt-bjolp,l2_p2_c2_g2,True,144,6,0.16
seq-opt-fdss-2,l2_p2_c2_g2,True,144,6,0.15
seq-opt-lmcut,l3_p3_c3_g3,True,618,9,0.16
seq-opt-bjolp,l3_p3_c3_g3,True,618,9,0.16
seq-opt-fdss-2,l3_p3_c3_g3,True,618,9,0.13
seq-opt-lmcut,l4_p4_c4_g4,True,375,11,0.15
seq-opt-bjolp,l4_p4_c4_g4,True,375,11,0.17
seq-opt-fdss-2,l4_p4_c4_g4,True,375,11,0.15
seq-opt-lmcut,l5_p5_c5_g5,True,756,14,0.26
seq-opt-bjolp,l5_p5_c5_g5,True,756,14,0.18
seq-opt-fdss-2,l5_p5_c5_g5,True,756,14,0.15
seq-opt-lmcut,l6_p6_c6_g6,True,887,18,1.42
seq-opt-bjolp,l6_p6_c6_g6,True,887,18,0.48
seq-opt-fdss-2,l6_p6_c6_g6,True,887,18,0.24
seq-opt-lmcut,l7_p7_c7_g7,True,637,20,9.6
seq-opt-bjolp,l7_p7_c7_g7,True,637,20,2.05
seq-opt-fdss-2,l7_p7_c7_g7,True,637,20,0.54
seq-opt-lmcut,l8_p8_c8_g8,False,,,59.15
seq-opt-bjolp,l8_p8_c8_g8,True,921,21,14.75
seq-opt-fdss-2,l8_p8_c8_g8,True,921,21,2.07
seq-opt-bjolp,l9_p9_c9_g9,False,,,59.2
seq-opt-fdss-2,l9_p9_c9_g9,True,910,25,12.62
seq-opt-fdss-2,l10_p10_c10_g10,True,936,30,13.77
seq-opt-fdss-2,l11_p11_c11_g11,True,1186,31,14.65
seq-opt-fdss-2,l12_p12_c12_g12,False,,,58.24
